episode,attack_success_rate,detection_rate,false_positive_rate,detection_latency,service_availability,attack_impact,recovery_time,attacker_cumulative_reward,defender_cumulative_reward,system_resilience,episode_duration_s,total_steps
0,0.16,0.5,0.0,5.666666666666667,1.0,0.0,0.0,1180.0,1149.9999999999998,1.0,0.010962963104248047,100
1,0.1,0.5,0.0,3.4,1.0,0.0,0.0,770.0,579.9999999999999,1.0,0.009999275207519531,100
2,0.11,0.7272727272727273,0.0,3.6666666666666665,1.0,0.0,0.0,600.0,1059.9999999999998,1.0,0.01001596450805664,100
3,0.14,0.35714285714285715,0.0,6.0,1.0,0.0,0.0,1110.0,959.9999999999999,1.0,0.011266231536865234,100
4,0.11,0.45454545454545453,0.0,7.0,1.0,0.0,0.0,740.0,629.9999999999998,1.0,0.01100015640258789,100
5,0.22,0.36363636363636365,0.0,7.0,1.0,0.0,0.0,1550.0,1200.0,1.0,0.011999130249023438,100
6,0.11,0.45454545454545453,0.0,7.666666666666667,1.0,0.0,0.0,810.0,1029.9999999999998,1.0,0.011001825332641602,100
7,0.18,0.2222222222222222,0.0,13.0,1.0,0.0,0.0,1340.0,629.9999999999998,1.0,0.011012077331542969,100
8,0.36,0.3333333333333333,0.0,3.4375,1.0,0.0,0.0,2840.0,1480.0,1.0,0.010544538497924805,100
9,0.1,0.5,0.0,6.0,1.0,0.0,0.0,560.0,889.9999999999997,1.0,0.01055145263671875,100
10,0.27,0.5185185185185185,0.0,2.642857142857143,1.0,0.0,0.0,2040.0,1340.0,1.0,0.011661052703857422,100
11,0.24,0.375,0.0,3.909090909090909,1.0,0.0,0.0,1810.0,1069.9999999999998,1.0,0.009990692138671875,100
12,0.2,0.45,0.0,5.777777777777778,1.0,0.0,0.0,1680.0,1150.0,1.0,0.010085821151733398,100
13,0.18,0.3333333333333333,0.0,6.111111111111111,1.0,0.0,0.0,1400.0,1410.0,1.0,0.012543439865112305,100
14,0.19,0.2631578947368421,0.0,11.6,1.0,0.0,0.0,1700.0,1019.9999999999999,1.0,0.012001276016235352,100
15,0.28,0.42857142857142855,0.0,3.0,1.0,0.0,0.0,2310.0,1420.0,1.0,0.012080192565917969,100
16,0.18,0.2222222222222222,0.0,9.0,1.0,0.0,0.0,1420.0,1109.9999999999998,1.0,0.011999845504760742,100
17,0.27,0.4074074074074074,0.0,4.0,1.0,0.0,0.0,2240.0,1089.9999999999998,1.0,0.01050877571105957,100
18,0.35,0.37142857142857144,0.0,2.933333333333333,1.0,0.0,0.0,2950.0,1310.0,1.0,0.011999130249023438,100
19,0.21,0.38095238095238093,0.0,6.888888888888889,1.0,0.0,0.0,1500.0,849.9999999999999,1.0,0.01100015640258789,100
20,0.14,0.35714285714285715,0.0,6.166666666666667,1.0,0.0,0.0,730.0,1080.0,1.0,0.010999917984008789,100
